strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,plus_threshold_pct,minus_threshold_pct,eligible_rows,plus_first_day_order_rate_pct,minus_first_day_order_rate_pct,same_day_ambiguous_rate_pct,neither_touched_rate_pct,both_touched_any_order_rate_pct
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,3.0,-2.0,749,34.84646194926569,40.85447263017357,23.76502002670227,0.5340453938584779,50.467289719626166
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,3.0,-3.0,749,43.257676902536716,38.31775700934579,17.489986648865152,0.9345794392523363,45.12683578104139
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,1.0,-1.0,749,28.83845126835781,25.901201602136183,45.26034712950601,0.0,67.69025367156209
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,1.0,-2.0,749,36.315086782376504,25.500667556742325,38.184245660881174,0.0,62.34979973297731
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,1.0,-3.0,749,46.19492656875834,23.76502002670227,29.906542056074763,0.13351134846461948,56.742323097463284
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,1.3,-1.0,749,28.704939919893192,29.10547396528705,42.18958611481976,0.0,66.35514018691589
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,1.3,-2.0,749,36.048064085447265,28.57142857142857,35.380507343124165,0.0,61.01468624833111
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,1.3,-3.0,749,45.66088117489986,26.702269692923895,27.50333778371162,0.13351134846461948,55.407209612817084
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,2.0,-1.0,749,28.57142857142857,34.045393858477965,37.38317757009346,0.0,64.21895861148198
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,2.0,-2.0,749,35.647530040053404,33.37783711615487,30.8411214953271,0.13351134846461948,59.012016021361816
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,2.0,-3.0,749,44.85981308411215,31.241655540720963,23.63150867823765,0.26702269692923897,53.40453938584779
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,3.0,-1.0,749,28.304405874499334,42.590120160213615,28.971962616822427,0.13351134846461948,59.94659546061415
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,3.0,-2.0,749,34.84646194926569,41.1214953271028,23.76502002670227,0.26702269692923897,54.73965287049399
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,3.0,-3.0,749,43.524699599465954,38.31775700934579,17.489986648865152,0.6675567423230975,49.39919893190921
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,1.0,-1.0,828,33.57487922705314,24.154589371980677,40.94202898550724,1.328502415458937,40.94202898550724
